epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.37975,1.84282,3.10641,1.70476,0.00462,1,0.36019,0.17999,1.58196,3.14189,1.44444,4.287e-05,4.287e-05,4.287e-05
2,4.73999,1.52663,2.93772,1.56985,0.00447,1,0.37835,0.227,1.26596,3.10436,1.18779,9.80494e-05,9.80494e-05,9.80494e-05
3,7.13784,1.14595,2.82664,1.23723,0.00441,1,0.35019,0.26303,0.8423,3.01911,0.98256,0.000150965,0.000150965,0.000150965
4,9.37135,0.96578,2.66682,1.21209,0.00407,1,0.4284,0.37544,0.38879,2.96479,0.87952,0.000201618,0.000201618,0.000201618
5,11.6924,0.93213,2.55395,1.17039,0.00398,1,0.52731,0.47566,0.48413,2.91492,0.87657,0.000250006,0.000250006,0.000250006
6,13.8989,0.8382,2.26002,1.12289,0.00403,1,0.60925,0.56952,0.3857,2.81678,0.84532,0.000296132,0.000296132,0.000296132
7,16.4188,0.76219,2.27614,1.12582,0.00459,1,0.67856,0.61849,0.31015,2.6268,0.81814,0.000339993,0.000339993,0.000339993
8,18.5115,0.91766,2.13633,1.24121,0.00522,1,0.78771,0.71276,0.33983,2.51808,0.81581,0.000381592,0.000381592,0.000381592
9,20.7009,1.10706,2.13943,1.3453,0.35081,0.83333,0.77978,0.70601,0.3696,2.36682,0.79489,0.000420926,0.000420926,0.000420926
10,22.8871,0.99457,1.9532,1.28098,0.61288,0.83333,0.71026,0.63159,0.45444,2.19357,0.79611,0.000457997,0.000457997,0.000457997
11,25.111,0.81687,1.69345,1.12962,0.63912,0.83333,0.78361,0.70641,0.56783,2.09727,0.82587,0.000492805,0.000492805,0.000492805
12,27.4142,0.83386,1.62529,1.1603,0.60067,0.8158,0.69728,0.64243,0.60115,2.036,0.868,0.000525349,0.000525349,0.000525349
13,29.5541,0.75899,1.611,1.14838,0.45921,0.68861,0.59871,0.53815,0.63089,2.11688,0.89915,0.000555629,0.000555629,0.000555629
14,32.0618,0.82469,1.59578,1.15223,0.37263,0.78577,0.61114,0.55579,0.57072,1.93936,0.88658,0.000583646,0.000583646,0.000583646
15,34.3458,0.76968,1.4154,1.11086,0.56952,0.61111,0.70608,0.62542,0.47182,1.71652,0.84495,0.0006094,0.0006094,0.0006094
16,36.5062,0.85473,1.57952,1.17273,0.56952,0.61111,0.70608,0.62542,0.47182,1.71652,0.84495,0.00063289,0.00063289,0.00063289
17,38.7889,0.76817,1.40047,1.09323,0.50048,0.92764,0.82154,0.73262,0.47153,1.6274,0.8242,0.000654116,0.000654116,0.000654116
18,41.0799,0.85834,1.40207,1.15825,0.6429,0.94444,0.8716,0.80152,0.48735,1.43015,0.83135,0.000673079,0.000673079,0.000673079
19,43.3156,0.94805,1.79456,1.37436,0.6429,0.94444,0.8716,0.80152,0.48735,1.43015,0.83135,0.000689778,0.000689778,0.000689778
20,45.6258,0.75584,1.51056,1.14629,0.80017,0.94444,0.91938,0.85913,0.54082,1.50738,0.86553,0.000704214,0.000704214,0.000704214
21,48.1314,0.87442,1.61655,1.21244,0.7308,0.90204,0.89881,0.86837,0.49688,1.99321,0.85346,0.000716386,0.000716386,0.000716386
22,50.4342,0.89721,1.54417,1.2375,0.7308,0.90204,0.89881,0.86837,0.49688,1.99321,0.85346,0.000726295,0.000726295,0.000726295
23,53.1604,0.80615,1.4842,1.20432,0.50841,0.94444,0.84397,0.81352,0.3604,2.35209,0.8071,0.00073394,0.00073394,0.00073394
24,61.994,0.77436,1.34525,1.13337,0.50841,0.94444,0.84397,0.81352,0.3604,2.35209,0.8071,0.000739322,0.000739322,0.000739322
25,65.5222,0.78824,1.43239,1.24023,0.44728,0.88889,0.82356,0.73266,0.40575,2.2566,0.83111,0.00074244,0.00074244,0.00074244
26,68.5534,0.77727,1.29981,1.13621,0.44728,0.88889,0.82356,0.73266,0.40575,2.2566,0.83111,0.000721645,0.000721645,0.000721645
27,71.4613,0.6454,1.28896,1.08,0.87457,0.77778,0.91014,0.80064,0.48908,1.70143,0.85514,0.000693351,0.000693351,0.000693351
28,74.054,0.72483,1.25599,1.11427,0.87457,0.77778,0.91014,0.80064,0.48908,1.70143,0.85514,0.000665057,0.000665057,0.000665057
